user_id,topk_items
1,['1' '2396' '919' '2858' '260' '3114' '595' '1097' '588' '364']
2,['527' '2028' '318' '150' '1704' '1233' '912' '2501' '858' '1198']
3,['1210' '1198' '1196' '260' '1036' '2028' '2000' '2571' '589' '733']
4,['260' '1198' '1196' '1210' '589' '858' '1036' '593' '1240' '2028']
5,['2997' '2395' '2908' '2599' '2858' '2580' '2700' '2318' '3160' '2692']
6,['2396' '539' '597' '356' '2081' '2724' '11' '2424' '17' '339']
7,['733' '589' '2571' '480' '2028' '1210' '1036' '780' '457' '1610']
8,['1704' '527' '318' '296' '593' '2858' '608' '1213' '1358' '2028']
9,['2858' '527' '318' '2396' '2028' '296' '1704' '608' '1' '2571']
10,['1097' '2080' '2081' '919' '588' '1028' '1270' '2011' '260' '2078']
11,['1060' '2395' '223' '1732' '441' '1923' '2700' '69' '125' '2599']
12,['260' '1196' '858' '1214' '589' '924' '1221' '1198' '1210' '541']
13,['260' '1210' '1196' '1198' '589' '2571' '2028' '480' '1240' '110']
14,['2858' '2997' '2396' '260' '1617' '527' '608' '2692' '912' '858']
15,['2762' '3147' '2028' '356' '110' '527' '3578' '593' '733' '3753']
16,['2858' '2396' '2762' '3578' '3114' '2355' '3175' '2997' '2683' '2716']
17,['589' '2571' '2916' '541' '260' '1214' '924' '1200' '1748' '1527']
18,['2081' '364' '2096' '1022' '595' '588' '2080' '2087' '919' '1907']
19,['2716' '260' '1210' '3578' '589' '2762' '1196' '480' '2858' '3793']
20,['589' '2571' '1196' '1210' '260' '480' '2028' '2916' '1580' '110']
21,['3000' '1274' '3745' '741' '3793' '1215' '3751' '2140' '3175' '1148']
22,['1215' '2700' '1261' '180' '223' '1391' '1274' '3033' '70' '69']
23,['589' '1214' '1200' '541' '2571' '1240' '1196' '2916' '260' '1206']
24,['2858' '1307' '1' '1265' '2396' '2918' '2797' '1198' '593' '2716']
25,['2628' '3793' '1210' '2571' '260' '3578' '1580' '589' '780' '1196']
26,['597' '539' '2146' '587' '3257' '454' '3528' '1674' '1302' '3101']
27,['912' '913' '908' '1304' '1230' '910' '904' '903' '750' '260']
28,['912' '2858' '2396' '908' '919' '260' '608' '913' '904' '1196']
29,['1201' '3702' '2944' '2948' '1240' '1198' '1036' '589' '1214' '260']
30,['2858' '2396' '2997' '2692' '527' '3481' '2336' '1617' '3751' '2599']
31,['3061' '2080' '933' '898' '3088' '955' '899' '911' '1294' '951']
32,['2858' '2396' '527' '318' '608' '2997' '593' '1617' '2692' '2762']
