user_id,gender,topk_items
5474,M,"260,1196,1210,2858,1270,1198,608,2571,593,1617"
2857,M,"1320,2288,2167,1129,6,1690,2985,1240,2916,1370"
571,M,"2571,589,2628,1210,480,260,1527,1580,3793,1573"
678,M,"2003,2746,2054,2100,2011,2455,2174,2657,2716,1339"
1354,F,"2858,2396,2997,2028,3948,1265,2291,39,356,3481"
5520,M,"1210,2396,480,1580,2571,260,3175,2628,3114,2858"
5792,M,"2858,608,296,593,1617,2997,527,1704,1213,318"
5703,M,"1204,1252,1953,1250,1267,1219,3435,1221,903,2366"
4339,M,"2571,589,1580,3623,780,2762,2628,1573,2763,3793"
3301,F,"2858,3683,2997,3160,162,1617,1041,1213,2692,3481"
5432,M,"1244,912,1247,1230,1252,923,908,3435,920,904"
5153,M,"2352,2243,2245,3684,1962,1307,3361,1293,1674,357"
3477,F,"914,899,932,17,1947,915,838,916,898,3097"
1448,F,"2262,2003,2474,1994,3686,2739,3210,3591,1092,2145"
3309,M,"1270,260,1196,1197,1198,1210,2174,1291,1136,1097"
3830,M,"2997,2858,2599,3481,3160,2692,3083,3006,2908,2395"
5597,F,"1350,1327,1982,1321,1347,1345,1997,2867,2789,2644"
3757,M,"593,110,2858,1198,1617,2028,608,1196,260,318"
5759,F,"1584,1210,1265,357,589,1396,1610,1653,1580,2916"
984,M,"1953,1198,969,1221,1287,110,1272,1304,920,1276"
3971,F,"1923,1704,2858,1639,1265,1777,1682,1517,1060,1784"
549,M,"2000,2470,1994,592,1674,3101,2001,2716,3448,1101"
3171,F,"1244,3435,3683,2186,3730,922,1248,1178,2303,2920"
5329,F,"2716,2369,1674,2858,1968,1994,1307,1186,1258,1961"
5860,F,"1307,1270,2100,1028,1197,1265,2797,356,2174,1097"
5451,F,"260,1196,858,2858,1617,750,1221,541,1198,608"
4488,M,"1214,1129,2527,2366,1201,2664,2288,1240,3703,3702"
3389,M,"260,1240,1196,1198,589,1214,2571,2858,1210,3527"
5185,F,"1367,432,1302,1021,2015,588,2012,2470,2294,150"
2680,M,"2858,2396,2997,1617,608,912,908,913,3481,593"
3707,F,"6,70,2353,165,1370,47,95,1518,733,2959"
2820,F,"1994,3706,1982,1321,1214,1345,2553,1219,3550,2160"
242,F,"2571,589,1580,480,3175,2628,1210,2028,2762,110"
3009,F,"1580,1210,356,480,2628,2571,780,1196,2396,589"
3049,F,"898,1296,899,916,914,28,912,17,265,915"
3292,F,"969,2870,898,933,2067,905,3244,3035,920,1944"
787,M,"2858,2762,3408,3578,3623,2997,3176,2959,2028,3753"
3067,F,"3176,587,377,597,1393,3257,222,1704,357,3044"
3807,F,"1982,1974,2617,1327,1347,1717,1970,188,1350,2003"
2109,M,"1219,2858,3081,1407,2762,3499,593,110,608,2710"
4831,F,"912,2858,1247,1225,318,2396,608,527,919,593"
2997,F,"2396,2858,318,593,527,357,1307,1094,17,608"
5182,F,"597,2470,587,539,2145,1088,1968,339,3255,3524"
2753,F,"898,899,912,1230,905,1244,1247,920,914,919"
4888,F,"3435,2186,905,1244,912,910,950,1267,1230,3545"
4992,F,"2858,2396,260,1196,1270,1210,1197,1198,593,608"
5361,F,"1367,531,1013,2059,1014,1022,1688,588,2081,586"
3334,M,"2858,318,1704,593,296,527,150,1393,34,110"
2351,F,"2858,593,608,318,296,1617,527,1704,2997,2762"
2926,F,"2671,1393,1704,1777,3408,1721,2858,1784,11,2424"
5986,F,"912,1247,1296,920,898,1230,1225,1172,17,1244"
2015,M,"1676,316,2167,2012,2002,153,1391,2105,589,780"
29,M,"1240,1214,3703,260,1200,589,2527,1374,1129,1198"
5458,F,"2997,2858,3481,2599,2692,3160,2395,296,2959,1673"
5738,M,"1214,1240,2288,2455,260,1387,1129,1127,1200,589"
2529,F,"1028,2081,2054,2405,2470,1380,2746,1029,2174,1032"
1631,F,"1028,2396,597,914,2671,2424,2724,1307,588,356"
1560,F,"3175,3793,2396,2683,2881,3578,2355,3623,1127,3753"
663,F,"2617,70,2167,1917,316,1320,3697,165,1370,1573"
4596,F,"2003,1994,2746,2174,1270,1258,1968,2100,592,2797"
3096,F,"260,1376,1210,2087,1029,1019,1270,1028,2080,1371"
2041,F,"357,1307,2396,356,1270,1197,1028,1265,919,1968"
4206,F,"260,1196,1210,1198,919,3114,110,480,1270,2628"
1695,M,"260,1214,1240,2571,589,1196,1210,1374,1198,1127"
3055,F,"1407,2617,589,2571,1573,70,253,1580,377,1994"
3308,F,"2003,2012,2378,2717,3438,3033,2054,2133,788,2081"
517,F,"597,1441,1888,339,3255,539,1569,3247,1271,357"
1483,M,"260,2571,1196,2628,1210,1240,589,480,1214,1198"
261,M,"110,318,593,1704,296,2268,356,3418,150,2858"
4750,F,"2081,588,1022,2078,1029,594,2096,1028,595,2080"
1839,M,"589,110,2571,1580,2762,2028,2858,480,648,3578"
4942,M,"260,1196,1198,1210,1214,924,1240,1270,1097,858"
5053,M,"2571,589,3793,1527,260,1240,2628,2916,1580,480"
4081,M,"2858,260,1196,593,608,1270,1198,1210,2396,2028"
5539,F,"912,2858,2396,1244,2997,1230,3481,3751,1247,908"
2700,M,"1617,593,296,110,1213,2858,318,1089,527,608"
4544,M,"1178,3435,2920,2732,3467,950,615,2351,2303,2203"
4563,F,"2858,593,608,1265,356,110,1210,2762,1196,318"
268,F,"597,2724,1888,587,2558,2424,2431,2671,339,3255"
2353,F,"2858,527,2396,1959,3176,593,1721,318,1617,1674"
4086,F,"588,1688,1566,783,48,364,1367,595,1907,1032"
509,M,"589,2628,2571,2028,296,260,608,2858,50,1210"
3713,F,"597,357,1307,3255,339,7,539,1569,1777,440"
5046,M,"1222,608,296,2000,3210,1240,1213,858,1090,1617"
3834,M,"2012,2571,1391,153,3438,673,1917,788,2628,104"
4687,M,"2858,593,110,1617,608,296,260,318,2028,527"
2504,M,"589,2571,110,2028,2858,1617,2916,480,593,457"
4215,M,"608,2858,593,296,1196,1265,318,1198,1270,527"
116,M,"2571,2858,260,1196,2628,3175,3578,1210,2762,1580"
4499,M,"2858,593,608,1617,2028,110,296,589,260,1210"
2624,F,"260,1210,1196,1270,1097,969,924,919,1214,3471"
2909,M,"10,349,1370,1610,434,2353,786,1552,2490,733"
4634,M,"260,1221,1252,858,1617,1204,1198,1196,912,608"
1474,M,"2858,608,1617,260,1196,296,750,593,541,2997"
