user_id,topk_items
1791,"162,1248,3683,750,296,1617,1089,1213,2912,1228"
2496,"2454,1334,2664,1214,1327,3471,2648,1387,924,2455"
2718,"539,356,1,34,588,1265,2424,364,1721,11"
4089,"1961,2420,3578,3448,1968,1721,2003,3785,2918,3753"
1484,"162,1732,296,1617,2289,2997,50,800,1213,778"
429,"3578,3753,3793,3717,3623,2858,3555,3755,2762,3510"
4169,"3074,3494,2454,3068,1946,3684,3813,3788,3430,1955"
5641,"2424,539,2671,339,1569,1888,2724,11,7,1721"
5793,"1953,599,3435,2944,1267,1201,1178,3366,3654,2019"
2795,"2527,1301,1374,750,924,541,3703,1253,2662,1129"
5158,"1282,1219,919,2710,2762,2858,593,2716,260,2987"
1806,"110,2762,2858,2355,2396,2571,2028,1580,480,3114"
2526,"1253,924,1301,2664,3471,750,903,2010,1019,2527"
482,"3448,2268,1090,858,587,3386,1208,16,608,2000"
2908,"3016,968,1982,1261,1258,2710,2455,3917,1345,2901"
5976,"36,1,2858,1968,778,1673,2291,593,608,1270"
1639,"3499,1258,593,1407,3476,70,1994,2710,2858,1213"
3018,"2000,1387,2001,1036,3104,1220,1222,3763,3552,1090"
3484,"3175,1580,1270,3114,1,2723,2355,2997,1148,1265"
109,"1028,1270,1210,2080,260,1196,1304,1294,1580,1073"
2309,"932,105,1721,17,1393,3155,920,222,902,2724"
1449,"1228,1090,3173,2403,1208,1263,1091,2791,1258,2792"
5754,"1,1265,588,296,39,1060,2324,1704,34,1784"
2246,"2028,1617,1213,608,593,296,2858,1221,527,858"
3934,"587,588,2581,543,799,2657,2793,1644,1580,2746"
1858,"1032,364,48,783,595,588,2096,1566,2089,1688"
4948,"1252,912,913,910,858,1084,903,1219,923,904"
2020,"3578,2858,1270,858,3481,2997,1196,593,1617,260"
4729,"1784,150,1704,1393,3255,539,3100,1265,2396,597"
4472,"3256,349,3257,736,1101,1610,1408,1608,377,1370"
3519,"2420,2134,372,2145,2375,500,1088,2144,2114,2918"
3605,"3578,2959,2858,2490,2710,2762,2997,1210,110,2028"
2941,"2080,1210,3479,541,1376,1356,2096,260,1372,1374"
