user_id,topk_items
1791,"3683,608,2858,1617,1252,1193,111,750,1248,1213"
2496,"1219,2664,1214,1387,3471,1334,1350,924,2454,1253"
2718,"2424,34,597,11,3255,1265,588,339,539,1784"
4089,"1968,2000,1961,380,2716,1036,356,2791,377,587"
1484,"1213,296,2858,608,2912,778,2289,1089,1617,1594"
429,"3793,2858,3578,3623,3753,3555,3755,3408,3510,3160"
4169,"1674,3528,3251,1094,1952,1124,3684,3546,2524,1964"
5641,"2671,2424,339,1888,1569,597,539,11,1393,7"
5793,"3435,1267,1953,1252,599,2019,1204,3334,3467,2951"
2795,"541,1200,1214,750,3702,2527,924,1240,3527,1253"
5158,"1219,2716,2858,2762,260,919,2987,2710,1282,1387"
1806,"2858,2028,1580,480,110,2571,2762,2396,2628,1"
2526,"1253,924,2664,750,1301,969,1252,3471,1204,904"
482,"2000,2268,2001,1968,3448,587,1090,380,1222,2194"
2908,"1969,2710,1327,2901,968,1970,3016,366,3917,1971"
5976,"2858,1265,34,296,1968,1270,608,2716,1097,2918"
1639,"1407,2710,2858,3499,3476,1089,593,1258,1213,1673"
3018,"1222,2000,3527,2001,1090,2194,3104,1387,2476,1240"
3484,"3175,1270,1,2700,1580,2628,2858,1265,3114,2355"
109,"1270,1196,1210,260,1197,2080,1198,1097,1073,919"
2309,"17,1183,1721,1393,105,2424,222,932,11,2671"
1449,"1090,2001,1222,2000,2194,1394,2791,3671,1263,858"
5754,"1265,1,39,34,357,296,1704,588,3253,2321"
2246,"2028,608,1617,2858,1213,858,527,1233,296,589"
3934,"3264,2004,588,2081,543,587,2003,367,2717,317"
1858,"594,1032,595,588,1566,1282,48,2096,364,3114"
4948,"1252,904,912,1193,1219,919,1225,903,913,1247"
2020,"2858,2028,608,3578,593,1617,1213,858,296,50"
4729,"1784,1265,1704,1393,2858,150,3255,357,11,597"
4472,"3256,349,1608,736,1674,1479,3107,3257,1610,1101"
3519,"1777,597,372,2134,3255,500,3253,339,1485,231"
3605,"2858,2762,2710,3578,2028,2959,3793,2997,1127,2826"
2941,"1210,1270,1196,2080,260,924,594,1240,2657,1097"
3487,"2858,608,1617,1213,593,296,527,318,2028,1193"
2517,"2858,3408,3753,1721,110,2762,3510,34,3578,3948"
2021,"2167,2617,2826,70,1690,2916,1644,196,2713,1215"
5250,"3081,2858,2291,1644,1407,253,3499,1717,1339,2710"
238,"515,1952,3260,3152,1096,1185,1225,1678,1084,3359"
3681,"1222,3527,2000,1036,2916,1370,2716,1407,1645,1127"
3119,"260,1210,1196,480,2628,1127,1270,589,1580,1214"
2740,"2916,1676,589,780,2628,3527,329,316,1356,480"
676,"3255,1777,3253,1923,344,1784,1517,231,1485,597"
