user_id,topk_items
4607,"2858,608,1617,1213,593,296,527,2997,318,589"
2199,"3285,2881,2707,2694,2771,2719,2676,3238,3798,2541"
4425,"3448,1307,2470,3361,2100,2000,1270,2406,3526,1198"
4384,"356,1968,2858,1923,1265,1517,296,3450,593,2028"
1354,"2858,2291,1580,480,2762,2396,2997,2572,3578,588"
1422,"1387,1198,1097,1196,2716,1270,1028,2746,1210,2100"
2583,"1387,2746,2470,2000,2115,2406,1270,592,2100,2407"
3678,"1375,1372,1376,1215,329,3527,316,2105,2393,3697"
1260,"608,1213,593,527,1222,1090,1617,1193,296,111"
3301,"2858,1617,1213,2908,3683,1041,162,527,111,3083"
5376,"260,1196,589,1214,1198,541,608,858,1210,1240"
3338,"1270,1198,1097,2858,260,1,2791,356,1196,919"
3477,"914,916,899,915,900,1947,898,932,838,918"
1448,"3448,1343,2739,3020,2121,22,2245,2474,1620,1003"
1062,"969,912,920,1230,919,898,1247,910,1207,908"
5767,"2167,2916,3527,70,173,1370,1320,1917,589,1215"
5597,"2901,2459,2288,1977,2784,1982,1130,2454,1327,3018"
3724,"3361,2470,3552,2407,1270,3448,2406,2174,2797,2100"
5759,"1094,589,1210,1617,2571,1580,377,3418,1584,380"
3942,"2916,1240,3527,1214,589,2571,260,1215,2985,1387"
3971,"3255,356,1271,1784,587,1747,1393,1777,1265,597"
2111,"1172,1230,1292,1235,3504,921,898,1244,3067,2065"
3171,"1244,1252,1952,1267,3134,1212,3730,3435,1084,3683"
5329,"608,2739,1186,593,2369,3101,2858,1956,1258,1307"
5860,"1270,3361,1097,2915,1307,2100,2174,1968,2918,3526"
5451,"260,1617,1198,1196,924,1214,541,2858,750,1210"
5379,"2858,2762,2716,2997,2028,1198,589,1210,1270,480"
5511,"1953,969,2944,1304,2406,1610,2000,1674,3763,1214"
5185,"1367,1021,2015,2470,2085,3552,2407,317,1025,2431"
3402,"1252,1212,1230,3435,1244,3134,1256,1267,1952,930"
3707,"47,2959,2353,6,733,16,1645,2490,288,474"
2820,"1252,1222,111,1089,1219,2160,1994,2118,1263,3476"
242,"1580,480,2571,2858,589,2028,110,2997,2628,3175"
3009,"1580,356,1210,480,2858,2571,648,2028,589,2628"
3049,"1296,916,898,265,914,912,899,17,2396,920"
3292,"969,2067,3451,898,3545,1944,953,2398,3244,3363"
5787,"260,924,1196,1210,750,1214,1198,1270,541,1097"
3067,"1620,22,1393,1271,3176,628,25,1729,225,454"
3807,"1974,1982,2613,2459,2328,1644,3527,1983,1347,2901"
355,"1580,2571,589,480,780,1917,2628,2916,2858,356"
4831,"2858,527,912,1617,2396,608,1247,1230,318,919"
