user_id,topk_items
4607,"1617,608,2858,1213,296,593,50,2028,858,527"
2199,"3238,2881,2707,2771,2805,2694,3285,2541,3534,3298"
4425,"3448,2470,2100,1198,2352,2174,1307,356,2145,2915"
4384,"1923,2858,356,1968,1265,3052,110,2706,296,608"
1354,"2997,2581,2572,2858,1580,2599,1784,588,2321,1777"
1422,"2746,1387,1196,2100,2115,1097,2174,1198,2003,2716"
2583,"2746,2100,2405,592,2115,1387,2003,2407,2000,2406"
3678,"1372,329,316,1676,1215,1690,2393,2916,1356,589"
1260,"593,858,608,1193,1213,1617,527,1222,111,1090"
3301,"2858,1617,3683,3083,1213,1041,162,1179,2997,246"
5376,"260,1196,589,1214,1198,541,480,1240,1270,608"
3338,"2858,1270,1097,1197,1,1230,919,1394,1196,1265"
3477,"914,898,932,916,915,899,900,1947,938,838"
1448,"1343,280,2474,2739,22,2121,3020,2269,3252,2114"
1062,"1230,898,912,910,1235,969,1247,908,1244,920"
5767,"2916,589,3527,2167,70,1676,1215,1690,2571,196"
5597,"2459,1350,1982,2901,1327,2288,2644,1321,1345,1130"
3724,"2746,2174,2100,1394,1220,1968,2797,2470,1079,3552"
5759,"1094,377,1617,17,3418,380,3044,1396,1680,2916"
3942,"2916,3527,1214,1240,2640,1676,2985,589,1129,1320"
3971,"1923,1265,1784,1704,356,3052,597,1777,2858,3255"
2111,"1172,1394,1235,1230,2352,1292,1244,2973,2065,3504"
3171,"1244,3730,1252,3683,1952,3134,1267,2731,3435,1260"
5329,"2858,608,1704,2243,3101,1258,1674,593,2739,1094"
5860,"2100,2174,1079,1097,1307,1394,1968,3526,2797,1197"
5451,"1617,260,1196,1198,1214,1210,924,541,1233,2858"
5379,"2858,2762,1196,1210,260,2716,2028,1197,1198,589"
5511,"1304,2949,1953,1214,2917,2406,969,1252,2944,736"
5185,"2085,1021,1367,3552,1012,3421,2015,596,356,2423"
3402,"1244,1230,3730,3435,1252,1212,910,1952,3134,908"
3707,"6,47,733,474,2353,1370,2916,1573,2278,1645"
2820,"1252,2288,1219,1089,1343,2551,2159,2917,3476,2118"
242,"1580,480,2571,589,2858,110,3175,2028,2628,1"
3009,"1580,356,2571,480,2628,1210,736,648,110,589"
3049,"898,916,17,265,914,1296,2396,912,28,920"
3292,"969,2067,898,1944,914,1947,3451,933,943,3244"
5787,"1196,260,1210,1197,1198,1097,924,1214,750,1270"
3067,"22,1393,454,3418,1680,25,1639,628,1735,1268"
3807,"1982,1974,2901,2328,1214,2617,2288,2613,2459,1334"
355,"1580,2571,589,2628,780,1917,480,110,1544,2723"
4831,"912,2858,608,1230,318,527,919,1247,1225,2396"
2997,"2858,608,318,1094,265,912,17,2396,1617,1704"
5182,"597,1968,2100,3591,1088,2145,2470,356,1307,2133"
2753,"898,955,911,899,916,905,910,914,912,945"
4888,"3334,898,3435,969,3545,930,947,1256,1212,1284"
4992,"2858,260,1196,1198,1210,1270,1097,608,1197,1617"
5361,"1022,1367,1688,2081,1029,531,616,2080,2078,2089"
5129,"260,1196,1270,1097,1210,1198,1214,589,480,1240"
2351,"2858,608,296,1617,527,593,2997,1704,1213,318"
2926,"1777,2671,1784,2581,339,1895,11,2485,1923,2424"
5986,"898,912,1230,1247,1296,1207,1172,1244,1185,926"
4489,"1580,2571,589,480,2916,2628,2858,3175,3793,1676"
690,"1198,260,1196,1197,1270,1097,2858,1394,2174,2716"
5458,"2997,2858,608,3481,1617,296,1089,2599,2959,2692"
945,"356,2858,1265,1196,1210,1197,2396,1198,110,593"
2529,"2100,2080,1097,2078,2081,2406,2054,2161,2746,2115"
1631,"2424,2355,2671,500,2396,3157,357,1265,1307,1028"
1560,"2762,2881,2701,2858,3175,2683,1127,3623,2987,2699"
663,"2916,2617,1676,589,2167,70,1917,1320,1573,316"
4596,"1994,2003,2174,1258,592,2746,1036,3448,1198,2791"
3096,"1019,1032,1371,1375,2080,1376,1374,2087,2529,1580"
2041,"356,2858,357,17,914,2396,1265,1393,919,920"
4206,"260,1196,1210,1097,1197,480,1198,919,3114,1580"
3055,"1407,2916,253,1573,589,2571,2617,1339,1645,3081"
3308,"2717,153,1405,1377,2421,435,2335,3254,2470,2003"
517,"597,357,339,1569,539,708,2424,2081,1265,11"
2651,"2916,1214,589,260,1127,2571,1210,1200,1240,480"
4750,"2081,2078,2080,1022,595,3396,1029,2085,588,364"
5452,"2997,2858,1617,608,1265,2395,296,3418,593,1923"
2307,"2858,608,1617,2997,593,296,2028,527,110,318"
4889,"260,589,1196,1198,2858,480,1210,2571,2916,1580"
493,"1041,246,2858,527,1704,318,1617,1213,2908,3160"
5539,"1230,2858,2997,912,1247,2396,1244,923,910,908"
2242,"1580,2571,480,1,260,2628,589,1210,1097,1196"
4563,"2858,608,593,356,110,2997,527,318,296,1198"
268,"1888,2581,2424,2431,339,597,587,2671,1777,2558"
2353,"2858,527,318,1193,593,2762,2396,1617,3176,608"
4086,"1688,588,48,1566,783,2081,2394,595,673,1367"
2860,"1252,3683,111,1617,1244,1213,2289,2076,608,908"
3713,"597,357,539,1968,1569,356,2145,1265,3255,11"
5788,"2717,2003,2735,2004,1405,1991,2134,153,3087,2794"
202,"589,1580,356,588,2571,110,153,367,1377,2617"
1058,"260,589,2571,2858,480,2028,2762,2628,1196,1127"
2021,"2617,2167,2916,1676,70,1917,1320,316,1370,196"
5615,"2858,1265,356,1,2997,2396,2028,34,608,593"
474,"1923,223,2580,1777,3052,2959,2502,2395,47,2997"
5916,"2664,1253,2454,1214,1219,2553,2366,2644,2287,2288"
2624,"1196,1097,260,924,1210,1197,919,3471,1214,912"
754,"2858,2762,3578,3408,2028,3753,3623,110,527,3176"
1467,"2858,2997,2762,3408,3578,2028,110,527,318,593"
858,"260,1214,1196,1097,924,1387,2657,1270,541,1219"
3159,"2858,2997,3408,2599,2395,2762,608,2396,2683,2987"
2446,"2858,589,2997,1270,608,296,1198,593,1580,1259"
1255,"2858,2908,2997,1704,2599,3176,2333,2686,3408,3006"
3384,"1270,260,1196,1387,1097,1214,1198,2858,1210,1197"
262,"329,1372,1375,1376,2393,1371,1676,1356,2105,1373"
692,"2916,6,608,1573,589,2571,1617,474,3418,47"
539,"1580,589,260,480,2571,1210,1196,2628,2916,1197"
5104,"2858,1617,260,1196,1198,1210,2028,527,593,608"
5524,"914,594,899,1028,2080,1947,2565,1032,3061,3549"
2203,"2406,1375,1374,1372,368,1580,1376,2640,380,736"
1124,"1240,1214,260,1270,589,2174,592,2000,1198,1220"
5061,"588,2081,1,2355,2080,3114,1566,1265,595,1580"
1125,"3623,3081,3147,736,1580,380,1573,1608,648,3257"
2073,"1207,919,2858,1282,318,899,2987,912,594,34"
4476,"1253,750,1212,924,1284,2019,1214,1204,1252,541"
5964,"589,2858,2997,2571,2916,1923,296,223,2395,608"
2681,"2081,500,597,141,3591,708,357,2134,1777,1569"
2665,"3070,1374,1375,2529,2746,1270,1214,1376,2527,2641"
1912,"1219,1252,1617,2858,904,908,608,1387,1193,1214"
2106,"586,588,585,1777,1485,708,1895,587,339,2424"
1764,"153,2004,2717,546,810,2617,1431,2053,673,1391"
3560,"2858,1265,296,356,608,1198,2997,318,1196,593"
788,"1580,329,2628,1676,589,2916,1372,1356,2571,1375"
854,"1393,587,597,25,1704,377,454,11,1777,380"
1489,"2858,2997,2762,3408,2396,2987,913,260,1270,919"
178,"2080,2746,1097,1294,2100,2174,3671,2087,2406,1304"
