user_id,gender,topk_items
1,F,"595,34,364,919,1,588,48,531,914,2081"
2,M,"2028,1183,590,3418,527,1610,1233,3654,318,349"
3,M,"1210,260,1196,1198,1270,480,1222,356,1580,2716"
4,M,"1196,260,1210,1198,858,1214,1222,3703,1240,480"
5,M,"2997,2692,2908,2858,2333,2599,1041,2959,223,2395"
6,F,"2941,899,914,3061,1035,920,1028,932,2396,1947"
7,M,"2571,589,480,2916,457,2028,6,1676,3527,110"
8,M,"1704,296,527,608,318,2329,1271,2959,1213,36"
9,M,"2858,527,2028,318,608,110,2396,593,3578,296"
10,F,"1028,2080,1270,1,588,260,2081,1097,2054,356"
11,F,"1060,2997,1923,223,2395,1265,441,2858,34,3052"
12,M,"260,858,1198,1196,2858,1210,2028,1136,1214,608"
13,M,"1374,480,1210,1356,2628,260,1372,2105,2985,2916"
14,M,"2858,2997,2762,608,2396,593,527,1617,858,2716"
15,M,"3753,2688,3623,2763,2762,2881,2490,2724,2605,3005"
16,F,"2840,1911,2688,3005,2683,2605,2724,3004,2490,2555"
17,M,"1653,32,541,589,1748,1584,2571,1301,3503,480"
18,F,"595,364,2628,2161,3489,2081,48,1022,1907,590"
19,M,"2716,260,1214,968,1210,2710,2366,1215,2288,1387"
20,M,"2571,480,589,2628,1210,260,2858,110,1196,2028"
21,M,"2628,1566,2761,588,2355,661,1274,3745,741,3114"
22,M,"70,1580,2012,589,2174,2716,2571,2167,1215,1391"
23,M,"541,1199,2968,1214,1965,2288,589,1748,2985,1200"
24,F,"1307,1265,2396,356,2858,608,1270,1196,527,2716"
25,M,"2628,3175,3793,260,2571,480,1215,1676,3745,589"
26,M,"500,3255,3591,539,2469,2145,1888,587,852,597"
27,M,"912,919,260,913,923,750,1230,899,858,908"
28,F,"2858,608,912,593,527,1617,265,2396,296,34"
29,M,"3654,2951,1201,1374,1287,1214,1200,2948,1240,3702"
30,F,"2858,527,3083,2908,2997,3897,1041,2357,265,608"
31,M,"3507,3671,2150,2791,3061,905,898,1079,1234,3421"
32,F,"2858,608,527,2396,593,3481,2997,3751,3578,1617"
33,M,"1219,904,2160,1084,903,1953,1263,1222,1252,1214"
34,F,"2716,587,356,2918,597,1265,1441,1569,339,1307"
35,M,"912,899,3545,1247,1296,1230,2067,914,898,265"
36,M,"356,1270,1196,2858,1210,2997,1265,1580,2571,457"
37,F,"356,1,1210,1265,260,2396,2355,588,595,1270"
38,F,"2424,539,1888,339,2671,1569,11,597,587,7"
39,M,"2706,2683,2840,2694,2770,3005,3298,2959,3752,2572"
40,M,"3628,3654,3643,1287,1019,3406,1374,940,969,3062"
41,F,"2355,2762,2396,2394,2858,2716,2724,3114,2706,356"
42,M,"1374,1376,2105,1372,1375,2985,1214,1240,1200,3703"
43,M,"2706,2683,2858,2355,2396,2716,2724,2997,2762,2770"
44,M,"260,1210,2628,1196,480,1097,1214,110,1270,595"
45,F,"339,838,2469,7,2424,539,468,2671,357,1441"
46,M,"1986,1979,1978,1970,1976,1983,1972,1971,1969,2514"
47,M,"608,527,593,318,296,2858,912,858,1617,2028"
48,M,"588,1,356,780,1580,480,380,2006,367,260"
49,M,"2571,2628,589,260,480,2916,6,1748,1676,1210"
50,F,"3753,3534,3565,3555,3510,3916,3755,3948,3512,3513"
51,F,"3948,2858,3481,3897,3751,3408,3534,3565,3512,2997"
52,M,"2353,733,2058,2571,648,1573,2490,6,70,3753"
53,M,"1584,1653,1339,253,1037,1748,32,198,1097,1909"
54,M,"1230,910,1234,1294,898,1304,1256,2300,905,1292"
55,F,"2858,527,318,608,593,296,2028,2396,2762,110"
56,M,"2858,2997,608,593,1265,527,318,296,1213,2396"
57,M,"3785,3409,3753,3793,2858,3535,3300,3617,3534,3745"
58,M,"1214,541,1356,1374,1584,2916,1372,2105,2985,1240"
59,F,"912,899,1230,913,1247,920,1296,914,916,969"
60,M,"2006,380,356,2763,2424,733,2724,2490,349,377"
61,M,"3753,3409,3484,3555,3717,3755,3534,3300,3452,3177"
62,F,"1674,3685,1958,2917,1953,3684,2352,3528,2243,2067"
63,M,"2706,2683,2858,2710,2770,223,2959,2840,3298,2694"
64,M,"2762,2571,2858,110,3578,480,2628,2706,2959,589"
65,M,"110,1210,480,2028,1198,356,1196,2571,457,260"
66,M,"2858,260,1210,110,480,1,1270,1196,356,2355"
67,F,"912,1084,1247,2067,899,920,914,902,1207,923"
68,M,"2858,2997,1230,1270,2396,1136,1265,1394,1197,34"
69,F,"36,1704,318,300,527,296,1041,265,17,1183"
70,M,"2840,3623,3005,3578,2605,3408,3534,2706,2858,2881"
71,M,"2858,3578,2762,3623,480,3753,2997,2396,2028,3408"
72,F,"2858,2396,527,34,2997,3408,17,265,1188,3897"
73,M,"1676,1580,2571,2628,3793,1215,589,316,2167,480"
74,M,"2858,608,2997,1617,912,1230,265,1233,858,527"
75,F,"2092,1566,1064,2089,2142,239,1688,48,2354,810"
76,M,"2858,3481,2997,3897,3160,3578,3534,2959,3948,3755"
77,M,"2706,2683,3408,2433,3176,2707,3534,2840,3005,3298"
78,F,"1188,838,497,1148,342,1057,34,357,1223,1537"
79,F,"3753,3555,3578,3755,3408,2858,3534,3565,3594,2028"
80,M,"356,1,110,2028,480,34,527,1210,1721,318"
81,F,"1252,750,541,1248,858,1214,2366,3435,1267,2019"
82,M,"480,2571,110,2028,1573,3147,589,1584,608,377"
83,F,"2394,3175,2987,2355,2701,2683,2724,2628,1911,2699"
84,M,"260,1210,1196,480,2628,1270,1214,589,2571,1198"
85,M,"3409,3798,3510,3948,3753,3897,3565,3300,3617,3484"
86,F,"2394,48,1566,595,1688,1032,1907,2355,1367,2092"
87,M,"1233,1201,589,2951,2947,110,2028,480,2571,2916"
88,F,"912,1230,2858,858,1247,608,593,908,527,923"
89,F,"2858,260,110,1210,1196,2028,1222,858,1198,1270"
90,M,"2058,2353,733,6,1732,1573,2763,2490,2278,21"
91,M,"1230,1394,1079,1234,2791,1136,3421,1304,1265,1307"
92,F,"2394,1566,1688,1032,48,595,1907,2092,2355,364"
93,M,"1676,316,2628,10,329,1356,2571,1372,2167,2916"
94,M,"2867,3917,1327,1130,1983,1976,3918,1261,1971,3017"
95,M,"2028,356,110,2858,2571,480,21,527,1580,608"
96,F,"318,527,2028,110,593,608,356,34,2858,2396"
97,F,"904,912,3435,1254,899,1252,928,945,3334,950"
98,F,"260,1210,1196,2858,1270,480,110,2028,1198,2716"
99,F,"3897,3948,3753,2858,3751,3578,3534,3565,3481,3408"
100,M,"480,1610,2916,780,2571,1580,1372,1676,349,1210"
101,F,"480,648,1608,10,380,316,165,736,1722,780"
102,M,"3408,913,2858,3578,2987,2997,3534,2396,3751,3176"
103,M,"316,480,1544,1917,2628,2571,1676,1831,3697,780"
104,M,"2840,3005,2688,3298,2707,2881,2490,2605,2713,2710"
105,M,"260,1210,1196,1214,1198,589,1222,3703,1233,2028"
106,F,"912,899,2396,1307,898,916,914,920,915,1265"
107,M,"1084,1254,1252,904,1953,1250,1262,1283,912,1204"
108,M,"2858,2791,480,589,3481,1259,1261,1965,2455,260"
109,M,"1028,2080,260,1270,1210,1196,3061,2087,1032,919"
110,M,"70,3578,1089,6,589,2858,110,3753,3300,3755"
111,M,"357,1704,34,1784,1393,1265,17,318,11,2396"
112,M,"2096,899,3435,594,1282,2087,3061,596,919,912"
113,M,"3409,3753,3300,3555,3793,3785,3354,3745,3534,3452"
114,F,"2096,1032,1022,2087,2085,1029,48,1688,595,2394"
115,M,"3753,3555,3300,3409,3793,3354,480,70,3918,3534"
116,M,"2710,2706,3578,2716,3793,3623,3300,3016,2490,2683"
117,M,"2641,1376,1374,2288,1690,1214,260,610,1240,2105"
118,M,"1210,1196,480,356,1198,260,2028,1580,1270,1610"
119,F,"2394,2355,1566,2709,3157,1911,48,1688,1367,1907"
120,M,"2858,608,593,858,527,1617,2028,296,1196,260"
121,M,"2288,1214,1215,1690,260,1127,1200,1374,1240,610"
122,F,"480,2571,2628,589,2916,1580,1676,260,1210,110"
123,M,"1674,2474,2000,2194,1090,3360,1263,1222,2457,3101"
124,M,"2858,527,3176,2762,318,608,3408,2396,593,2028"
125,M,"589,480,3753,110,858,2028,1233,1222,1201,1214"
126,M,"2396,265,2858,912,527,1230,34,17,1188,28"
127,F,"3578,2571,2858,608,3755,2692,1233,527,2028,1617"
128,M,"260,969,480,1210,2948,3926,3654,3836,3061,3062"
129,M,"6,2278,21,2916,1089,70,2058,3256,589,2353"
130,M,"2948,480,1374,589,1129,1201,3654,1240,110,2951"
131,M,"296,778,1041,1213,1089,608,1719,246,535,318"
132,M,"2791,2918,2716,223,3608,1923,1265,2804,2997,1270"
133,F,"3176,2858,2762,3147,1721,3408,3534,318,1704,3148"
134,M,"1573,480,1580,1544,2571,648,1676,442,1831,780"
135,M,"2840,2683,2706,3408,2858,3578,3534,2710,3005,2762"
136,M,"2081,1282,551,1097,2080,588,1188,594,595,1285"
137,F,"2762,2396,2858,2763,2571,480,2688,2028,2605,2628"
138,M,"1617,2858,608,2692,527,296,1233,858,593,1213"
139,F,"260,1136,1214,541,1196,1210,1274,750,1278,2968"
140,F,"913,3435,912,908,1284,1230,928,3606,945,1212"
141,M,"912,2858,1617,908,608,858,1196,593,2396,1221"
142,M,"2858,2997,527,2762,1,318,593,608,2396,34"
143,M,"2396,2858,2762,2028,356,110,2997,480,527,2571"
144,M,"480,2762,2858,2571,2628,3578,1210,2028,110,3175"
145,M,"2706,2683,2959,2762,2858,2712,2710,2355,223,2997"
146,F,"914,899,912,904,1947,1307,1674,1296,916,1097"
147,M,"2571,480,2353,733,1573,589,6,165,2278,110"
148,M,"736,3269,2094,2006,653,1608,1372,3638,1801,1101"
149,M,"2912,2692,1213,2959,1089,6,296,1233,3265,3267"
150,M,"2858,2908,2396,608,527,318,265,2762,593,2997"
151,F,"357,3175,2396,342,1188,2997,39,1580,708,1265"
152,M,"2716,2700,223,1,2858,2997,260,1270,1210,2571"
153,M,"3409,3484,2888,3273,3752,3511,3454,3177,3617,2036"
154,M,"2858,2762,3578,2710,2997,2396,3005,3408,2987,3176"
155,M,"231,500,344,3255,2302,1485,370,5,356,3263"
156,F,"2724,539,2671,2424,2396,11,1183,7,339,1680"
157,M,"21,1077,1307,2352,3448,1747,1294,1234,1641,3361"
158,M,"899,912,919,903,904,3435,914,969,923,1219"
159,F,"2858,2706,2683,2396,2997,2762,2724,2355,3408,3578"
160,M,"2858,3578,260,3751,1210,2762,2396,480,2028,1196"
161,M,"608,1247,923,1228,527,296,1263,1041,1213,246"
162,F,"3623,3578,3753,2706,2762,2571,2490,3793,2355,480"
163,M,"353,2490,2167,2571,1573,3273,2617,2058,70,2826"
164,F,"912,899,920,969,914,913,898,916,902,2396"
165,M,"1214,2664,2288,541,3932,2454,1301,260,3703,968"
166,M,"1339,2081,1097,1407,2174,1258,2161,2797,1994,592"
167,F,"3753,3534,3555,3916,3755,3510,3948,3565,3512,3173"
