user_id,gender,topk_items,topk_scores
2761,M,"1304,1580,648,368,380,457,780,2948,10,2916","3.9351,3.8756,3.8653,3.8535,3.8250,3.7791,3.7758,3.6804,3.6630,3.6361"
904,M,"70,1222,1407,1258,2118,1321,1994,1974,3476,2288","4.5103,4.5013,4.4497,4.4428,4.3979,4.3513,4.3223,4.3110,4.2818,4.2463"
5100,M,"919,1225,924,1097,34,1230,912,2971,3545,3363","2.7609,2.7362,2.7129,2.6802,2.6522,2.5457,2.5444,2.5258,2.5118,2.5051"
3051,M,"3793,2571,2628,70,2858,3578,480,1580,110,589","4.2358,4.1503,4.0631,4.0519,4.0351,4.0075,3.9809,3.9806,3.9643,3.9602"
955,F,"457,3418,2916,377,1610,2571,1617,32,1573,1094","3.4299,3.3338,3.3328,3.2436,3.2112,3.1892,3.1376,3.1367,3.1258,3.1024"
635,M,"912,898,1225,1230,1296,1247,920,1244,908,899","5.0111,4.9340,4.8585,4.8319,4.8060,4.7825,4.7610,4.7569,4.6991,4.6968"
4488,M,"2288,3366,2527,3639,1129,1201,2944,3062,3654,2662","5.2665,4.9618,4.8469,4.7726,4.7160,4.7086,4.6744,4.6315,4.5879,4.5790"
2428,M,"898,2396,915,1265,1230,2858,2716,910,1269,3072","5.6050,5.3187,5.0361,5.0093,4.9290,4.8720,4.7185,4.6379,4.6364,4.5967"
1053,M,"2881,2763,2013,2490,3005,3384,2605,2688,1127,913","4.5810,4.5031,4.4124,4.3894,4.3219,4.3145,4.2929,4.1317,4.0996,4.0525"
4609,F,"1037,2021,1909,1580,2011,1215,329,1339,316,1584","2.6161,2.5678,2.5259,2.5225,2.5216,2.5140,2.5007,2.4952,2.4722,2.4677"
5700,F,"2762,2355,3081,2396,356,2858,1721,588,1,2710","2.0333,2.0251,2.0193,2.0034,1.9717,1.9325,1.9308,1.9136,1.9061,1.8814"
3414,M,"780,2571,316,2916,2628,1917,733,480,349,1370","5.2823,5.2265,5.1493,5.1486,5.1431,5.1124,5.0624,4.9895,4.9515,4.9228"
766,F,"2150,3608,3424,2918,3072,1285,1394,2463,3526,2915","2.9722,2.8072,2.8014,2.7933,2.6968,2.6963,2.6724,2.6495,2.6448,2.6402"
3259,F,"588,364,595,2571,1265,593,2628,457,480,1210","3.4645,3.3600,3.2789,3.2762,3.1676,3.1647,3.1437,3.1379,3.1321,3.1127"
1203,F,"1704,608,1584,318,527,593,2336,32,1682,17","3.2579,3.1734,3.1374,3.1182,3.1081,3.1014,3.1013,3.0955,3.0945,3.0877"
1766,F,"2858,2291,2396,110,1673,3160,593,3481,480,3753","2.7688,2.4391,2.1933,2.1814,2.1758,2.1719,2.1478,2.1217,2.0900,2.0394"
366,M,"969,1304,1196,260,924,920,1210,1294,912,1287","5.1919,5.0507,4.9852,4.7831,4.7192,4.6995,4.6616,4.6519,4.6514,4.6204"
5338,M,"2021,1301,2105,1374,2288,1376,1372,541,1375,2968","6.7712,6.5558,6.3795,6.2362,6.1848,6.1794,6.1476,6.1398,6.0805,6.0768"
4591,M,"2628,480,2571,260,1210,1196,1544,2617,589,780","3.6814,3.5757,3.5719,3.5428,3.4869,3.4344,3.4074,3.3837,3.3497,3.3315"
4343,M,"832,22,1393,1777,1682,2268,377,3257,1784,292","4.7860,4.7686,4.6542,4.6539,4.5924,4.5851,4.5300,4.5116,4.4989,4.4807"
647,M,"2002,1918,153,1431,485,466,420,1377,1687,1385","5.0415,4.8576,4.8359,4.8286,4.7591,4.7230,4.5313,4.5212,4.5201,4.5071"
2458,M,"2000,2174,2918,2716,2406,2001,2011,1580,1968,380","5.4326,5.3209,5.2823,5.2355,5.2166,5.1016,5.0937,5.0544,5.0038,4.9851"
