user_id,gender,topk_items,topk_scores
1791,M,"162,1248,3683,750,296,1617,1089,1213,2912,1228","4.7778,4.5798,4.4481,4.4307,4.3763,4.3295,4.3154,4.2894,4.2838,4.2750"
2496,M,"2454,1334,2664,1214,1327,3471,2648,1387,924,2455","4.0958,3.9444,3.9265,3.8185,3.7686,3.7665,3.7550,3.6700,3.6430,3.6357"
2718,F,"539,356,1,34,588,1265,2424,364,1721,11","4.2370,4.1640,4.1529,4.1155,4.1095,4.0192,4.0119,3.9797,3.9510,3.9445"
4089,M,"1961,2420,3578,3448,1968,1721,2003,3785,2918,3753","3.3054,3.2585,3.2338,3.2187,3.2065,3.1450,3.1318,3.1213,3.1122,3.0976"
1484,M,"162,1732,296,1617,2289,2997,50,800,1213,778","3.9110,3.7895,3.7782,3.7465,3.7355,3.7107,3.7057,3.7047,3.7004,3.6663"
429,M,"3578,3753,3793,3717,3623,2858,3555,3755,2762,3510","5.3153,5.1666,5.0339,4.8221,4.7651,4.7401,4.7338,4.6937,4.6916,4.6709"
4169,M,"3074,3494,2454,3068,1946,3684,3813,3788,3430,1955","1.4677,1.4656,1.4524,1.4330,1.3683,1.3668,1.3576,1.3452,1.3372,1.3330"
5641,F,"2424,539,2671,339,1569,1888,2724,11,7,1721","6.0510,5.9818,5.8557,5.6450,5.6169,5.6154,5.5495,5.5190,5.4610,5.4088"
5793,M,"1953,599,3435,2944,1267,1201,1178,3366,3654,2019","5.0233,4.9774,4.9215,4.7719,4.7699,4.6727,4.6662,4.6635,4.6601,4.6577"
2795,M,"2527,1301,1374,750,924,541,3703,1253,2662,1129","5.4037,5.1280,5.0347,4.9837,4.9406,4.9405,4.9320,4.8892,4.8761,4.8657"
5158,F,"1282,1219,919,2710,2762,2858,593,2716,260,2987","4.1764,4.1491,4.1219,4.1196,4.1039,4.1010,4.0622,4.0191,4.0084,3.9812"
1806,M,"110,2762,2858,2355,2396,2571,2028,1580,480,3114","5.3599,5.3534,5.3270,5.2346,5.1969,5.1685,5.1422,5.1123,5.1109,5.0803"
2526,M,"1253,924,1301,2664,3471,750,903,2010,1019,2527","4.7013,4.4978,4.3717,4.3541,4.1533,4.1098,4.0396,4.0282,4.0189,3.9878"
