user_id,gender,topk_items,topk_scores
4607,M,"2858,608,1617,1213,593,296,527,2997,318,589","3.9860,3.9496,3.8375,3.8174,3.7070,3.5993,3.5797,3.4764,3.4560,3.4443"
2199,M,"3285,2881,2707,2694,2771,2719,2676,3238,3798,2541","4.2629,4.2485,4.2089,4.0742,4.0321,4.0074,4.0005,3.9702,3.9443,3.9273"
4425,M,"3448,1307,2470,3361,2100,2000,1270,2406,3526,1198","2.4228,2.3753,2.2996,2.2908,2.2887,2.2785,2.2670,2.2218,2.2055,2.2019"
4384,M,"356,1968,2858,1923,1265,1517,296,3450,593,2028","3.5802,3.3457,3.3194,3.3012,3.2486,3.2436,3.1635,3.1593,3.1521,3.1365"
1354,F,"2858,2291,1580,480,2762,2396,2997,2572,3578,588","3.2427,2.9982,2.9830,2.9639,2.9530,2.9362,2.9267,2.9141,2.9138,2.8989"
1422,M,"1387,1198,1097,1196,2716,1270,1028,2746,1210,2100","3.1510,3.1237,3.1174,3.1089,3.0666,3.0617,2.9942,2.9774,2.9453,2.9400"
2583,M,"1387,2746,2470,2000,2115,2406,1270,592,2100,2407","3.8532,3.8198,3.8066,3.7925,3.7576,3.7495,3.7375,3.7188,3.7121,3.7103"
3678,M,"1375,1372,1376,1215,329,3527,316,2105,2393,3697","5.6166,5.5815,5.5656,5.5628,5.5073,5.4147,5.3754,5.3485,5.3261,5.2742"
1260,M,"608,1213,593,527,1222,1090,1617,1193,296,111","3.3816,3.3023,3.2337,3.1943,3.1941,3.1622,3.1413,3.1123,3.1029,3.0547"
3301,F,"2858,1617,1213,2908,3683,1041,162,527,111,3083","4.7640,4.7084,4.5299,4.3968,4.3709,4.3470,4.3351,4.3350,4.3208,4.2557"
5376,M,"260,1196,589,1214,1198,541,608,858,1210,1240","4.0406,3.9238,3.8701,3.8465,3.8138,3.7733,3.7313,3.6764,3.6524,3.6482"
3338,M,"1270,1198,1097,2858,260,1,2791,356,1196,919","2.2625,2.1922,2.1783,2.1661,2.1219,2.1186,2.1175,2.1166,2.1054,2.0927"
3477,F,"914,916,899,915,900,1947,898,932,838,918","4.4129,4.3747,4.2888,4.1264,3.9787,3.9736,3.9176,3.8677,3.8575,3.7258"
1448,F,"3448,1343,2739,3020,2121,22,2245,2474,1620,1003","3.1264,2.8597,2.7358,2.7185,2.7119,2.7031,2.6946,2.6749,2.6694,2.6678"
1062,M,"969,912,920,1230,919,898,1247,910,1207,908","4.7013,4.6964,4.6415,4.5818,4.5784,4.5748,4.5496,4.5445,4.5392,4.4369"
5767,M,"2167,2916,3527,70,173,1370,1320,1917,589,1215","4.5003,4.4634,4.4224,4.3951,4.2392,4.1725,4.1611,4.1384,4.0989,4.0859"
5597,F,"2901,2459,2288,1977,2784,1982,1130,2454,1327,3018","4.7878,4.7562,4.7421,4.5597,4.5572,4.5191,4.5042,4.4700,4.4648,4.4191"
3724,M,"3361,2470,3552,2407,1270,3448,2406,2174,2797,2100","3.3909,3.3810,3.2562,3.2480,3.2434,3.2357,3.2333,3.2223,3.2100,3.2070"
5759,F,"1094,589,1210,1617,2571,1580,377,3418,1584,380","3.3442,3.2143,3.2065,3.1989,3.1778,3.1760,3.1468,3.1375,3.1362,3.1172"
3942,M,"2916,1240,3527,1214,589,2571,260,1215,2985,1387","3.9698,3.9243,3.9132,3.7327,3.6725,3.5904,3.5228,3.5102,3.4823,3.4683"
