user_id,gender,topk_items,topk_scores
3067,F,"25,1704,2316,1393,3257,1721,230,1271,1339,222","2.6122,2.5900,2.5393,2.5214,2.4857,2.4535,2.4356,2.4301,2.4231,2.3961"
1503,M,"1196,858,260,2028,1617,1221,1210,1198,593,589","4.6935,4.6548,4.6431,4.5717,4.4893,4.3876,4.3354,4.3204,4.2758,4.2662"
1303,M,"32,589,1732,1089,2289,296,235,1394,223,608","3.2789,3.2295,3.2147,3.2113,3.1539,3.1398,3.1352,3.1347,3.1338,3.1030"
129,M,"6,2278,2916,474,1912,2353,1370,1573,589,2058","4.4060,4.1647,4.0392,3.9028,3.8969,3.8757,3.8612,3.8586,3.8531,3.8070"
2251,M,"1278,3362,1219,1259,1252,1129,2791,3504,2160,3363","2.9294,2.8611,2.8494,2.8202,2.8117,2.7365,2.7276,2.7232,2.7214,2.7157"
5625,M,"1394,1230,910,1079,1288,1234,1080,2300,1136,1304","4.6744,4.4790,4.4590,4.4522,4.4212,4.3953,4.3167,4.2804,4.2162,4.1844"
2804,F,"316,329,377,1372,780,2916,2094,736,380,10","5.1153,5.0876,5.0417,5.0126,4.9982,4.9205,4.8140,4.8049,4.7885,4.7875"
1448,F,"2474,2114,2739,3478,2146,454,3016,3591,1246,3791","2.9586,2.9337,2.9069,2.7640,2.7556,2.6345,2.6080,2.5820,2.5627,2.5584"
3718,M,"1244,1230,1172,1617,912,3683,1252,2289,2973,1247","5.0297,4.7916,4.6826,4.6595,4.5618,4.5512,4.5201,4.4812,4.4652,4.4274"
3829,F,"1885,45,3261,125,1875,2395,708,25,94,144","2.7633,2.6825,2.6336,2.6080,2.5664,2.5500,2.5431,2.5369,2.5347,2.5256"
5574,M,"1345,1997,1258,1327,1219,2657,1097,1339,2710,1994","4.5262,4.2797,4.2453,4.2260,4.2119,4.1720,4.1553,4.1327,4.0892,4.0879"
5615,M,"1265,1197,2396,1307,1270,1,1196,1580,608,377","4.1376,4.0488,4.0104,3.9890,3.9450,3.9017,3.8696,3.8357,3.8277,3.8110"
1611,M,"1407,260,3499,1258,1717,2710,2762,1969,1644,589","3.3777,3.1623,3.0633,3.0443,3.0383,3.0121,3.0017,3.0013,2.9855,2.9712"
4226,F,"2858,2396,2997,2683,2762,2355,2706,1270,3175,1","6.7314,6.3432,6.1637,6.1265,6.0981,6.0914,5.9179,5.8889,5.8438,5.7932"
858,M,"968,2657,2455,260,1214,1219,1097,1345,1278,2664","4.4473,4.3656,4.3434,4.2183,4.1058,4.0873,4.0591,3.9861,3.9831,3.9746"
5890,M,"858,3362,1234,1221,1247,1304,1230,1252,1225,1674","4.0015,3.9909,3.9904,3.9448,3.9164,3.9133,3.9035,3.8926,3.8407,3.8158"
1228,M,"296,608,1617,50,2692,1213,318,2028,1912,593","3.9976,3.9675,3.8564,3.8191,3.7947,3.7945,3.7843,3.7807,3.6657,3.6389"
1034,F,"3675,3061,969,1269,899,1304,3516,2080,1947,898","3.9711,3.8398,3.8027,3.7434,3.6488,3.6217,3.6066,3.5386,3.5309,3.5271"
1263,M,"2683,2706,2694,1513,2355,1911,223,785,2770,2396","5.9967,5.3756,5.3178,5.1741,5.1181,4.9966,4.9737,4.8452,4.8418,4.8102"
4060,M,"260,589,1196,2716,593,1387,1240,2571,1270,1210","4.8216,4.7428,4.6924,4.6544,4.6373,4.5634,4.5585,4.4941,4.4851,4.4502"
1362,M,"3745,3793,3354,3624,3300,3863,480,3555,3578,3751","4.4925,4.3444,4.2919,4.0613,4.0380,3.8853,3.8148,3.7326,3.7209,3.6890"
3569,F,"1345,2003,1258,2717,1997,1347,1407,3264,1974,2004","4.2647,3.8266,3.7765,3.6938,3.6726,3.6477,3.6315,3.6259,3.5752,3.5745"
3471,M,"2959,2706,3623,3578,2605,2707,2580,785,3301,2762","3.3102,3.2824,3.1763,3.1289,3.0966,3.0535,3.0392,3.0322,3.0190,3.0037"
889,M,"2657,2291,928,916,908,2160,912,1269,3481,951","1.8193,1.8134,1.7382,1.7241,1.7230,1.6600,1.6574,1.6525,1.6379,1.6344"
949,M,"1374,1372,2916,1129,329,1127,780,2393,1376,316","4.9399,4.8188,4.7730,4.7688,4.7124,4.6661,4.6519,4.5892,4.5560,4.5424"
5208,M,"3793,3578,2571,589,3623,2762,3354,2628,2826,480","6.2227,6.1480,6.0290,5.9266,5.8942,5.8893,5.8583,5.8228,5.7823,5.7733"
636,M,"2455,1127,2288,1215,1690,968,2901,3016,1261,260","5.1285,5.1116,5.0536,4.9923,4.9783,4.9747,4.9373,4.8524,4.8182,4.8180"
2307,M,"2858,2997,608,296,1617,593,2959,50,1213,318","5.1003,4.8263,4.8131,4.7981,4.7587,4.7552,4.7441,4.7246,4.6765,4.6421"
3622,M,"1270,1197,1196,260,1097,2396,919,912,1307,1265","4.1420,4.1096,4.0978,4.0849,4.0477,4.0408,3.9819,3.9607,3.9564,3.9516"
5443,M,"2407,2406,2100,377,2916,3699,1101,1584,2000,587","3.3651,3.3320,3.3040,3.2910,3.2419,3.2354,3.2262,3.1900,3.1548,3.1495"
524,M,"1213,1089,6,288,1729,2391,50,296,47,1466","2.7226,2.6788,2.6440,2.6278,2.6278,2.5285,2.5269,2.5105,2.4577,2.4488"
3792,M,"1036,1198,1291,480,2028,377,1197,260,2628,2571","2.5115,2.4902,2.4686,2.4371,2.3899,2.3748,2.3464,2.3447,2.3361,2.3052"
2015,M,"588,673,367,1,2012,1391,1377,1580,589,1198","2.6517,2.6021,2.5923,2.5289,2.4999,2.4859,2.4841,2.4588,2.4550,2.4417"
5798,M,"2396,2858,1265,1270,1307,1079,1259,2918,2791,356","5.2067,5.1362,5.0204,5.0196,4.9648,4.9478,4.9372,4.9085,4.8980,4.8935"
326,M,"1270,1674,1196,260,858,1234,1304,1307,1259,1097","4.9497,4.9408,4.9396,4.9195,4.8883,4.8844,4.8694,4.8364,4.7860,4.7748"
1783,M,"2858,2396,1265,608,593,356,318,34,296,1","3.6487,3.4928,3.4555,3.3972,3.3824,3.3521,3.3484,3.3054,3.3028,3.2936"
2857,M,"2476,3697,2288,1320,2118,2956,3441,1129,2403,2402","3.4078,3.3722,3.3460,3.3024,3.2758,3.2491,3.2317,3.2129,3.2098,3.1811"
2830,M,"260,1196,1210,1270,589,2858,2028,1198,2716,1617","5.1992,4.9988,4.8999,4.8492,4.8342,4.8245,4.7969,4.7884,4.7411,4.6691"
3729,M,"296,2028,858,1213,1222,608,593,318,110,1221","3.3571,3.3411,3.2458,3.2313,3.2026,3.1978,3.1803,3.1717,3.1532,3.1357"
1051,F,"1407,587,724,1339,2291,2858,588,2710,2003,3081","3.0450,2.9439,2.8843,2.8529,2.8482,2.8219,2.7965,2.7923,2.7789,2.7753"
5978,M,"2087,1287,596,1019,594,1017,1029,1032,260,2085","3.8311,3.7750,3.7237,3.6699,3.6626,3.6461,3.6144,3.6106,3.6009,3.5985"
53,M,"32,1584,1653,1339,1407,253,1320,1097,247,2916","3.0916,3.0635,3.0427,2.9026,2.8781,2.8365,2.7998,2.7500,2.6435,2.6352"
204,M,"2028,377,349,1608,1610,480,648,733,780,2353","4.1992,4.1503,4.1199,4.0394,3.9834,3.9558,3.9304,3.9084,3.8933,3.8687"
4995,M,"608,1617,296,2289,1213,800,1179,50,2858,593","4.0527,4.0114,4.0027,3.9677,3.9575,3.8627,3.8593,3.7879,3.7446,3.6801"
1321,F,"3361,2915,1079,1958,1186,2243,1674,1394,2352,2918","4.9916,4.8050,4.7852,4.7147,4.6550,4.6460,4.6305,4.6023,4.5972,4.5838"
4847,M,"1617,2858,608,2997,858,593,296,260,527,1230","5.4071,5.3410,5.3254,5.2448,5.0469,5.0337,5.0284,5.0071,4.9842,4.9643"
2810,F,"48,1688,364,588,595,783,1907,1566,2394,2355","5.0093,4.6028,4.5566,4.5308,4.4546,4.3256,4.3163,4.2645,4.1301,4.0361"
