user_id,gender,topk_items,topk_scores
2761,M,"1304,1580,1210,2916,1196,480,1610,780,1372,589","4.1114,4.0075,3.9166,3.8934,3.8736,3.8399,3.8277,3.8039,3.8016,3.7690"
904,M,"1974,1347,1321,1407,1994,3476,2867,2118,1645,1982","4.3433,4.3273,4.3150,4.3042,4.2897,4.2629,4.2541,4.2167,4.1436,4.1269"
5100,M,"1225,1230,1234,1097,924,919,1304,912,1193,1294","2.9264,2.7942,2.6181,2.5840,2.5796,2.5663,2.5156,2.5019,2.4941,2.4704"
3051,M,"2858,2571,70,2762,2959,480,223,589,1580,2028","4.3593,4.2814,4.1646,4.1154,3.9496,3.9317,3.8847,3.8732,3.8338,3.8265"
955,F,"3418,377,590,1094,21,2916,1396,608,2571,1183","3.0646,2.9270,2.8726,2.8241,2.7939,2.7805,2.7744,2.7568,2.7551,2.7104"
635,M,"899,912,1230,1247,898,1225,2396,17,1296,914","5.0821,4.8550,4.8543,4.8277,4.8085,4.6862,4.6701,4.6485,4.6251,4.5143"
4488,M,"2366,2288,1214,1129,1201,2944,2527,2951,1320,2476","5.2992,5.1984,4.8352,4.8244,4.8226,4.7807,4.7190,4.7186,4.6458,4.6300"
2428,M,"2396,1265,1270,1230,898,1307,34,910,3072,899","5.3454,4.9203,4.8875,4.8550,4.7752,4.7241,4.7165,4.6259,4.6038,4.5575"
1053,M,"3005,3384,2490,2763,2881,2826,2722,3113,2688,2605","4.7049,4.6608,4.6330,4.5370,4.4399,4.3132,4.2530,4.2458,4.2372,4.1901"
4609,F,"1391,1037,1320,1831,1690,1653,196,1215,3033,1396","2.6397,2.6021,2.5770,2.4814,2.4659,2.4562,2.4549,2.4077,2.3965,2.3788"
5700,F,"2396,2858,527,2762,34,593,318,1265,356,2028","2.4704,2.1583,2.0895,2.0783,2.0750,2.0047,1.9644,1.9172,1.9060,1.8971"
3414,M,"2571,480,2916,648,780,733,589,1917,2628,1210","5.2142,5.1798,5.1304,5.1193,5.1151,4.9838,4.9831,4.9630,4.9556,4.8805"
4750,F,"2081,364,588,1022,2096,2080,2141,595,2087,1029","4.2513,3.8384,3.7922,3.7851,3.7706,3.7207,3.7157,3.6750,3.5842,3.5763"
3259,F,"2571,364,2762,595,1,593,34,2628,2858,919","3.1558,3.1450,2.9834,2.9687,2.9600,2.9266,2.9191,2.9021,2.8729,2.8721"
1203,F,"2858,608,296,1704,1584,2571,527,25,1682,318","3.1682,3.1602,3.0647,3.0252,2.9959,2.9587,2.9328,2.9228,2.8931,2.8595"
