user_id,gender,topk_items,topk_scores
3067,F,"3257,2291,1721,230,509,25,1407,1639,1704,3176","2.7862,2.7153,2.6824,2.6811,2.6548,2.6138,2.5902,2.5871,2.5666,2.5622"
1503,M,"593,1196,858,110,2028,1221,1198,527,1617,2858","4.8660,4.8170,4.8112,4.6999,4.6055,4.5051,4.5024,4.5005,4.4891,4.4617"
1303,M,"296,1089,2289,235,608,2455,1732,3476,32,1196","3.5071,3.3914,3.3798,3.3542,3.3374,3.3105,3.3093,3.3066,3.2684,3.2660"
129,M,"6,2916,2278,1370,2058,3256,349,1527,3267,733","4.4904,4.0783,4.0649,3.7850,3.7650,3.7626,3.7238,3.7137,3.7115,3.6995"
2251,M,"1259,1214,3362,1252,2455,1394,924,1179,1079,1278","2.9559,2.9507,2.9473,2.9196,2.9194,2.8725,2.8629,2.8532,2.8380,2.8248"
5625,M,"1394,1288,1079,2300,1230,2064,3424,750,1077,1270","4.7326,4.6660,4.6621,4.5579,4.5060,4.3969,4.3796,4.3756,4.3616,4.3564"
2804,F,"1356,316,329,780,2006,1372,1580,2916,2094,1527","5.4482,5.4010,5.3233,5.2290,5.2212,5.1307,5.0770,5.0730,5.0473,5.0362"
1448,F,"2474,3478,3016,2739,147,1093,1246,2369,3203,2146","3.1960,2.9168,2.8795,2.8085,2.7450,2.6601,2.6179,2.6109,2.6093,2.5981"
3718,M,"3683,1244,1230,2289,1172,1264,3504,912,3067,2973","5.2077,5.1599,5.0420,4.8895,4.8267,4.8142,4.7867,4.7647,4.7424,4.7198"
3829,F,"3261,1648,45,25,2165,94,708,1885,1407,1639","3.1298,3.1246,3.0950,2.9296,2.8955,2.8947,2.8884,2.8412,2.8283,2.8172"
5574,M,"1994,1345,1327,1339,2746,1097,2716,2657,1982,2003","4.5349,4.3885,4.2071,4.1711,4.1282,4.1216,4.1185,4.0412,4.0122,4.0122"
5615,M,"1265,357,2396,21,34,1270,608,1641,593,1197","4.1214,3.9673,3.9481,3.8934,3.8777,3.8655,3.8614,3.8412,3.8308,3.8297"
1611,M,"1407,1644,3273,1645,1717,2617,1994,593,260,1982","3.3038,3.1939,3.1096,3.0581,3.0552,3.0156,3.0116,3.0110,2.9798,2.9196"
4226,F,"2858,2396,2355,2683,2716,3175,2762,1,1270,2997","7.0040,6.4687,6.4506,6.3961,6.3342,6.2206,6.2017,6.1721,6.1346,6.1345"
858,M,"2657,2455,1214,1097,968,2664,260,2288,1270,2716","4.7506,4.6555,4.5966,4.4152,4.3928,4.3766,4.2830,4.2585,4.2321,4.1870"
5890,M,"858,1234,1953,1221,1228,3504,3362,1304,1244,1230","4.2135,4.0149,3.9687,3.9372,3.9372,3.9072,3.9010,3.8858,3.8507,3.8381"
1228,M,"296,608,2028,593,50,1617,2858,1213,318,527","4.5011,4.4855,4.2993,4.2731,4.2564,4.2481,4.2157,4.1908,4.1764,4.1571"
1034,F,"969,3061,3675,1269,920,912,899,1035,2565,914","4.1632,4.1125,4.0577,4.0086,3.9187,3.9166,3.8680,3.8018,3.7126,3.6598"
1263,M,"2683,2706,2694,2581,1911,2355,2770,2716,2858,785","5.7358,5.2780,5.2721,5.0672,5.0633,5.0500,4.9727,4.9128,4.8440,4.7947"
4060,M,"593,1196,589,480,260,608,2571,2716,1210,1198","5.1770,5.0724,5.0143,4.9963,4.9563,4.9019,4.8685,4.8648,4.7873,4.7832"
1362,M,"3745,3300,3793,3354,3555,3863,480,3481,3624,589","4.9220,4.6555,4.5390,4.5358,4.5041,4.2335,4.0135,3.9746,3.9279,3.9057"
3569,F,"2003,1345,1982,1347,2717,2005,1097,2513,1258,1032","4.1360,3.9040,3.7995,3.7281,3.6269,3.6227,3.6157,3.5894,3.5485,3.5213"
3471,M,"2959,2580,2706,785,6,2890,2490,3301,2763,3578","3.2429,3.2416,3.2112,3.1595,3.0927,3.0831,3.0661,3.0624,3.0619,3.0581"
889,M,"3927,2291,2657,3930,2160,3932,2454,1284,908,1965","2.3392,2.2581,2.2301,2.2158,2.2046,2.1034,2.0960,2.0930,2.0928,1.9792"
949,M,"2916,1372,1356,480,1374,1527,1580,1200,1375,316","5.3847,5.2916,5.1916,5.1424,5.1308,5.0917,5.0879,5.0465,5.0383,5.0306"
5208,M,"2826,3300,2858,3793,2762,2571,3578,3081,2959,589","6.3521,6.2444,6.1851,6.1178,6.1047,6.0370,6.0309,5.9927,5.9844,5.9233"
636,M,"2288,2455,610,1320,2901,1214,196,1127,1215,1261","6.4629,5.8549,5.8139,5.7178,5.6846,5.6606,5.6579,5.5294,5.4966,5.4921"
2307,M,"2858,50,296,608,2997,2959,593,2599,3481,1089","5.2041,4.8838,4.8551,4.8529,4.8088,4.8061,4.7690,4.7378,4.6956,4.6934"
3622,M,"1197,1196,1270,1210,2396,912,260,1097,1307,919","4.4976,4.2637,4.2581,4.1771,4.1172,4.1013,4.0948,4.0586,3.9995,3.9834"
5443,M,"2407,2100,2405,2406,2145,1396,1097,2011,587,1584","3.5588,3.2950,3.2256,3.2250,3.1819,3.1132,3.0985,3.0916,3.0819,3.0610"
524,M,"1466,6,1089,16,288,50,47,296,1213,1729","3.0146,3.0046,2.9832,2.7577,2.7484,2.7466,2.6908,2.6906,2.6802,2.6736"
3792,M,"1198,480,2628,1036,2571,1240,2028,3793,1196,260","3.0539,2.8717,2.8027,2.6806,2.6334,2.6272,2.6209,2.6114,2.6073,2.6073"
2015,M,"673,586,1,588,153,367,2082,1405,364,1391","2.7163,2.6960,2.6587,2.6550,2.6310,2.6291,2.6143,2.6101,2.6049,2.5974"
5798,M,"1079,1265,2396,1307,1270,2716,2858,3552,21,2918","5.1917,5.1403,5.0349,4.9950,4.9844,4.9267,4.8984,4.8952,4.8918,4.8226"
326,M,"1196,1307,1304,1270,1234,912,1097,858,1259,1197","4.9709,4.9102,4.8874,4.8720,4.7995,4.7911,4.7258,4.7185,4.6904,4.6710"
1783,M,"2858,593,608,356,2997,480,1265,296,318,3481","4.0279,3.5195,3.4762,3.4207,3.3964,3.3848,3.3810,3.3783,3.3533,3.3511"
2857,M,"3697,1320,2288,2402,1130,2476,165,2403,1994,1779","3.5696,3.5280,3.4136,3.4066,3.2690,3.2636,3.2426,3.2291,3.1717,3.1666"
2830,M,"2858,1196,260,1210,589,2716,480,1198,2028,110","4.8894,4.8410,4.7701,4.7495,4.6714,4.6307,4.6236,4.6125,4.6012,4.5717"
3729,M,"2028,296,110,593,608,457,2268,858,1213,527","3.8325,3.8310,3.8286,3.7957,3.7705,3.6733,3.6671,3.6520,3.6476,3.6034"
1051,F,"2003,724,1407,2291,1994,2716,1682,587,1717,1644","2.9799,2.9734,2.9241,2.8919,2.8418,2.8205,2.7405,2.7266,2.7165,2.7086"
5978,M,"1287,596,1029,2085,1032,3034,2947,2018,2087,2529","4.0988,4.0820,3.8192,3.7613,3.7461,3.7452,3.7403,3.7113,3.6825,3.6529"
53,M,"1653,32,1584,253,1909,1748,1407,1320,2571,1396","3.3823,3.3676,3.2855,3.0656,2.9382,2.9316,2.8969,2.8908,2.8769,2.8652"
204,M,"480,780,110,590,648,1198,1196,349,2628,2028","4.3412,4.1199,4.1106,4.0918,4.0828,4.0626,4.0248,4.0090,4.0071,3.9800"
4995,M,"2289,296,608,2858,1617,1179,1704,265,1094,2396","4.0724,4.0415,4.0395,3.9494,3.9193,3.9015,3.8957,3.8723,3.8552,3.8368"
1321,F,"1186,2915,2352,2243,3072,3424,1962,1079,3210,1663","5.0207,4.8724,4.8347,4.6695,4.6634,4.5636,4.5405,4.4959,4.4712,4.4605"
4847,M,"2858,2997,608,593,1617,912,34,527,858,318","5.8855,5.3389,5.2461,5.2073,5.1285,5.1233,5.0860,5.0842,5.0565,5.0203"
2810,F,"364,595,48,1367,1907,1688,2142,2394,588,2125","4.6200,4.6016,4.4968,4.2407,4.2099,4.1669,4.1510,4.1498,4.0931,4.0304"
5771,M,"2105,1019,2640,2174,2407,2470,1097,2968,2529,1371","4.3489,4.2644,4.2427,4.1677,4.1519,4.0939,4.0745,4.0645,4.0234,4.0134"
3382,F,"2581,3948,2355,2572,2724,3408,3534,2858,3751,3565","5.0552,5.0009,4.8929,4.8922,4.8270,4.8055,4.7990,4.6886,4.6658,4.5968"
1147,M,"3929,1284,1248,2726,3930,2203,1260,3730,1069,3435","4.3857,4.2229,4.1967,4.1724,4.1475,4.0787,3.9840,3.9731,3.9437,3.9418"
3336,M,"380,2001,165,3256,1370,377,2002,349,3257,2000","3.5363,3.5112,3.4616,3.4457,3.4417,3.4181,3.4038,3.4028,3.3970,3.3609"
658,F,"2858,2683,2716,2706,356,593,2791,1517,344,1","4.7705,4.2576,4.2278,4.1882,4.1718,4.1519,4.0537,4.0291,4.0271,4.0230"
4534,M,"480,110,2028,377,589,648,733,2571,2916,593","5.1507,5.0855,5.0088,4.9356,4.9122,4.8981,4.8957,4.8848,4.8572,4.8137"
5106,F,"595,2424,364,588,1,34,539,2355,48,356","5.2703,5.2483,5.2260,5.2171,5.2109,5.1955,5.1259,5.0365,4.9700,4.9514"
5643,F,"357,590,1094,1674,34,2396,3418,1721,1183,858","2.7303,2.5569,2.5531,2.5528,2.5444,2.5356,2.4940,2.4908,2.4562,2.4509"
5096,M,"2716,1270,3543,2369,1196,1127,1079,3552,2407,3072","4.0510,3.8930,3.6376,3.5823,3.5252,3.5015,3.4972,3.4760,3.4538,3.4091"
2777,M,"1895,1457,1485,1777,5,333,597,236,1888,450","4.0230,3.9878,3.9634,3.9160,3.8903,3.8625,3.7864,3.7777,3.7711,3.7237"
5614,M,"2455,32,1994,2968,3471,2657,1199,235,2407,1097","3.1513,3.0297,2.9083,2.8954,2.8375,2.8357,2.8195,2.8186,2.8164,2.7311"
2560,F,"1704,36,593,318,1183,150,17,1271,3105,34","4.7051,4.5777,4.5376,4.5093,4.4937,4.4934,4.4889,4.4503,4.4235,4.4001"
2840,M,"733,377,2058,292,1608,1645,165,6,1370,2353","4.3057,4.0689,4.0294,4.0189,3.9907,3.9460,3.9142,3.8716,3.8678,3.8673"
4523,M,"1356,780,1372,2628,316,2105,480,2094,329,653","3.8003,3.7945,3.6594,3.6577,3.6498,3.5604,3.5390,3.5291,3.5233,3.5062"
1117,M,"2858,296,608,2571,480,593,1580,589,50,1923","3.0953,3.0876,3.0566,3.0496,2.9730,2.9477,2.9230,2.8899,2.8633,2.8576"
2899,M,"3175,1270,2011,3033,2174,1580,3552,2918,1197,1079","4.0054,3.9976,3.9595,3.9152,3.9131,3.8176,3.7743,3.7636,3.7440,3.7396"
1897,F,"2858,2396,1296,265,1244,58,912,1230,1185,1172","3.8383,3.7792,3.7222,3.6967,3.6692,3.5764,3.5654,3.5646,3.5505,3.5372"
5018,F,"912,2067,1225,1084,1247,1299,1293,1183,858,1957","4.8672,4.7771,4.7762,4.7705,4.7409,4.7339,4.7109,4.6982,4.6675,4.5664"
2334,F,"914,932,3061,2067,539,1947,920,3244,899,915","4.4983,4.4225,4.2536,4.1590,4.1015,4.0438,4.0176,4.0154,4.0075,3.9941"
1791,M,"3683,111,1089,1248,858,50,162,1252,1213,750","4.4612,4.3535,4.3367,4.2052,4.1697,4.0734,4.0409,4.0257,4.0245,3.9823"
3859,M,"733,316,1917,780,1527,1876,292,2916,648,349","5.6462,5.5603,5.5332,5.5161,5.3980,5.3821,5.3807,5.3449,5.2341,5.2262"
4064,M,"34,3471,2968,1097,2085,924,750,1952,1252,1345","2.0576,2.0230,2.0165,2.0080,1.9886,1.9722,1.9623,1.9328,1.9276,1.9158"
