user_id,gender,topk_items,topk_scores
1,F,"595,34,364,919,1,588,2081,3114,318,594,1282,2396,1028,899,527,2858,912,1097,2355,1035,3751,1210,1022,1197,356,1265,1196,48,2080,593,531,260,1029,2018,2087,1907,2085,2762,2096,661,1032,2028,914,110,2687,1270,2291,1225,1198,1704","5.5432,5.3778,5.2603,5.1338,5.0954,4.9585,4.9169,4.8825,4.8172,4.8014,4.7450,4.7273,4.7148,4.6987,4.6937,4.6270,4.6229,4.6051,4.6015,4.5809,4.5517,4.5132,4.4981,4.4871,4.4717,4.4541,4.4512,4.4495,4.4415,4.4333,4.4322,4.4062,4.3968,4.3862,4.3767,4.3757,4.3520,4.3294,4.3171,4.3163,4.2775,4.2723,4.2689,4.2525,4.2474,4.2326,4.2242,4.2197,4.2190,4.2141"
2,M,"2028,1183,590,3418,527,1610,318,349,608,1393,110,1233,3256,1608,593,377,457,2268,2006,1408,1953,161,858,350,1287,150,969,1250,2067,356,474,480,647,1617,2353,912,3107,296,3654,2501,1954,1674,1196,1704,1198,1213,1094,151,1210,1272","4.7819,4.7771,4.7218,4.6186,4.6167,4.5410,4.4819,4.4359,4.4308,4.3429,4.3407,4.3360,4.3341,4.3260,4.3165,4.3128,4.3093,4.2969,4.2788,4.2615,4.2415,4.2212,4.2103,4.1829,4.1780,4.1598,4.1194,4.1184,4.1036,4.0835,4.0797,4.0634,4.0620,4.0446,4.0197,4.0122,3.9973,3.9898,3.9754,3.9394,3.9194,3.8934,3.8901,3.8870,3.8710,3.8658,3.8626,3.8626,3.8556,3.8511"
3,M,"1210,260,1196,1198,1270,480,356,1580,2716,110,2000,589,2571,1240,2028,2628,1,2174,457,2916,1291,1214,1036,1387,1197,1136,1610,1097,858,1200,380,592,1220,780,2406,1259,1222,2918,593,1374,2858,608,1265,377,2791,648,2012,2797,21,2115","5.9329,5.8252,5.7879,5.6693,5.6210,5.6051,5.5990,5.5949,5.5886,5.5357,5.5255,5.4468,5.4465,5.3769,5.3548,5.3487,5.3458,5.3377,5.3337,5.2697,5.2316,5.2308,5.2233,5.1564,5.1505,5.1426,5.1325,5.1089,5.1019,5.0974,5.0934,5.0477,5.0454,5.0382,5.0276,4.9846,4.9682,4.9466,4.9384,4.9349,4.9325,4.9211,4.9133,4.8848,4.8729,4.8631,4.8219,4.8177,4.8157,4.8147"
4,M,"1196,260,1210,1198,858,1214,1240,480,541,2028,1097,589,1270,924,608,1221,2628,1200,2571,110,1617,593,2858,1387,750,527,1580,457,2916,1197,1374,1304,296,1036,1127,912,1222,2987,1291,356,318,1136,2762,2716,1610,2396,1,2000,3703,1259","6.9425,6.9090,6.8622,6.6639,6.6016,6.5642,6.4589,6.4080,6.3972,6.3894,6.3022,6.2701,6.2674,6.2582,6.2248,6.2211,6.2149,6.2082,6.1948,6.1702,6.1513,6.1330,6.1224,6.1043,6.0984,6.0817,5.9504,5.9481,5.9266,5.9260,5.9234,5.8247,5.7914,5.7813,5.7697,5.7685,5.7343,5.7263,5.7250,5.7206,5.7133,5.7065,5.7051,5.6898,5.6489,5.6080,5.6004,5.5728,5.5451,5.5319"
5,M,"2997,2692,2908,2858,2333,2599,2959,223,2395,2318,1885,2336,2396,562,2580,3176,2762,608,3083,1719,3052,1354,2712,3160,3006,866,1041,1639,247,593,2600,2700,50,1653,1060,3481,2686,1175,296,527,1734,1089,233,2289,3174,1732,1916,2337,2710,2706","5.0506,4.9359,4.9142,4.8631,4.7673,4.7672,4.7053,4.5890,4.5229,4.4453,4.4196,4.3745,4.2926,4.2814,4.2580,4.2459,4.2099,4.1696,4.1610,4.1065,4.1000,4.0981,4.0931,4.0829,4.0775,4.0703,4.0538,4.0063,3.9885,3.9472,3.9461,3.9368,3.9356,3.9313,3.9257,3.9075,3.9053,3.8980,3.8959,3.8790,3.8778,3.8742,3.8658,3.8656,3.8656,3.8637,3.8604,3.8564,3.8480,3.8125"
6,F,"2941,899,914,3061,1035,920,1028,932,2396,1947,356,2565,3675,912,2724,900,48,595,969,916,2080,3549,902,2424,3155,2081,1088,3114,3604,919,539,915,17,1022,1721,1,34,1307,1959,838,918,2355,1210,2671,938,1197,1367,3157,73,362","4.2133,4.2116,4.1632,4.0856,3.8597,3.8531,3.8225,3.7832,3.7754,3.7749,3.7676,3.7606,3.7432,3.7352,3.7125,3.7038,3.6887,3.6766,3.6442,3.6128,3.5891,3.5652,3.5556,3.5464,3.5457,3.5354,3.5246,3.5117,3.5076,3.4962,3.4880,3.4837,3.4685,3.4662,3.4555,3.4553,3.4487,3.4281,3.4191,3.3997,3.3937,3.3550,3.3505,3.3498,3.3449,3.3337,3.3265,3.3142,3.3093,3.2884"
7,M,"2571,589,480,2916,457,2028,110,1573,2628,1610,1580,1210,260,2353,733,1240,780,1198,377,1214,1196,648,1527,608,1370,6,349,593,3256,1200,1617,858,1356,1127,1544,527,3578,380,1676,2762,2617,1036,2858,3527,356,474,316,1584,296,1387","7.6743,7.6400,7.6268,7.5760,7.3504,7.2185,7.2167,7.1604,7.1126,7.1096,7.1024,7.0905,7.0599,7.0408,6.9558,6.9019,6.8930,6.8868,6.8546,6.8546,6.8049,6.7587,6.7023,6.6987,6.6601,6.6521,6.6200,6.5641,6.5158,6.4981,6.4897,6.4824,6.4435,6.4353,6.4202,6.4186,6.4152,6.3926,6.3918,6.3649,6.3635,6.3496,6.3453,6.3189,6.3168,6.3127,6.3041,6.2990,6.2758,6.2623"
8,M,"1704,296,527,608,318,2329,2959,1213,36,3252,25,1682,778,150,593,1183,2268,508,3418,300,1729,1639,2890,3100,1393,3006,1120,1584,2571,475,3147,2028,337,293,2858,47,1358,3246,1617,110,3386,2908,1089,1653,457,1721,2762,1271,16,1673","4.4496,4.3334,4.3005,4.1732,4.1704,4.1457,4.0898,4.0871,4.0821,4.0289,4.0039,3.9919,3.9837,3.9732,3.9618,3.9617,3.9430,3.9102,3.9045,3.8719,3.8641,3.8613,3.8367,3.8282,3.8233,3.8230,3.8055,3.8018,3.8018,3.7953,3.7930,3.7630,3.7395,3.7334,3.7184,3.7103,3.7007,3.6712,3.6539,3.6467,3.6332,3.6120,3.6119,3.5565,3.5492,3.5443,3.5426,3.5248,3.5239,3.5211"
9,M,"2858,527,2028,318,608,110,2396,593,3578,296,2997,2762,1704,3408,480,3753,2571,34,1617,1265,356,2959,1721,3160,1213,3147,3481,3897,3006,1,3751,457,3755,2291,589,3948,3623,1393,3114,3148,3176,1673,150,1210,2890,2628,2692,2324,2599,3418","6.0497,5.8144,5.7337,5.6730,5.5864,5.5857,5.4304,5.4117,5.4079,5.3854,5.3402,5.2862,5.2668,5.1846,5.1768,5.1430,5.1239,5.1153,5.1024,5.0930,5.0657,5.0548,5.0384,5.0204,5.0184,4.9569,4.9529,4.9335,4.9014,4.8980,4.8968,4.8836,4.8671,4.8564,4.8090,4.8035,4.7571,4.7558,4.7174,4.7104,4.6967,4.6772,4.6626,4.6490,4.6486,4.6253,4.6196,4.6135,4.6119,4.5814"
10,F,"1028,2080,1270,1,588,260,2081,1097,2054,356,2087,1210,34,1196,1032,919,1136,1282,2355,1580,2797,1073,2174,594,2161,1265,2657,2011,1307,595,3114,899,2078,2407,1022,3396,2470,2628,3175,539,2100,317,2918,1197,2716,480,1278,1380,2396,367","4.1939,4.1914,4.0812,3.8969,3.8684,3.8452,3.8323,3.8293,3.7777,3.7695,3.7347,3.7302,3.7237,3.6824,3.6495,3.6236,3.6059,3.6056,3.5810,3.5778,3.5705,3.5701,3.5528,3.5395,3.5358,3.5253,3.5046,3.4525,3.4512,3.4412,3.4409,3.4394,3.4365,3.4235,3.4149,3.4088,3.4068,3.3960,3.3944,3.3920,3.3696,3.3636,3.3315,3.3197,3.3176,3.3166,3.3151,3.3119,3.3043,3.3033"
